frame,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,y0,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,y21,y22,y23,y24,y25,y26,y27,y28,y29,y30,y31,y32,y33,y34,y35,y36,y37,y38,y39,y40,y41,y42,y43,y44,y45,y46,y47,y48,y49,y50,y51,y52,y53,y54,y55,y56,y57,y58,y59,y60,y61,y62,y63,y64
0,0.5130651593208313,0.623256504535675,0.522290825843811,0.5982200503349304,0.5282840728759766,0.5989227294921875,0.5341373085975647,0.5996996760368347,0.5053965449333191,0.5980746150016785,0.5002265572547913,0.5983313918113708,0.4950765371322632,0.5988041758537292,0.5435245633125305,0.6110516786575317,0.4884018898010254,0.6097021102905273,0.5246586799621582,0.6469548344612122,0.5043235421180725,0.6464908719062805,0.5882413387298584,0.749501645565033,0.4452871084213257,0.7469655871391296,0.6196239590644836,0.9214786887168884,0.41420966386795044,0.9028463959693909,0.5998018980026245,0.9148377180099487,0.4443010687828064,0.9215503334999084,0.5921204686164856,0.9251713752746582,0.44538941979408264,0.9380583167076111,0.5834195613861084,0.9037080407142639,0.456918329000473,0.9135372638702393,0.5835921168327332,0.8990947604179382,0.45825260877609253,0.9073139429092407,0.592814564704895,0.9104991555213928,0.5817627906799316,0.9205471873283386,0.5721604824066162,0.9278460741043091,0.565274715423584,0.9359484314918518,0.5591646432876587,0.9458931088447571,0.5726353526115417,0.9079295992851257,0.5672196745872498,0.919586718082428,0.5641867518424988,0.930492639541626,0.5621925592422485,0.9417549967765808,0.5800780653953552,0.9001250863075256,0.5807410478591919,0.9132144451141357,0.5843244194984436,0.9231168031692505,0.5867859721183777,0.9284964799880981,0.5893480181694031,0.8962687849998474,0.592162549495697,0.9099137187004089,0.5957267880439758,0.9191215634346008,0.5980873107910156,0.9236915707588196,0.5985531210899353,0.8960778713226318,0.6026037335395813,0.9080945253372192,0.6052604913711548,0.9172359704971313,0.606947660446167,0.9217581748962402,0.46551036834716797,0.9210406541824341,0.45711666345596313,0.9145883917808533,0.44888463616371155,0.9133051633834839,0.4450949430465698,0.9087534546852112,0.4415271580219269,0.9026564955711365,0.4466615319252014,0.922465443611145,0.4399825632572174,0.9271125793457031,0.435777872800827,0.9320523738861084,0.4330047070980072,0.9380101561546326,0.45177918672561646,0.926552951335907,0.444491982460022,0.9349962472915649,0.4397765100002289,0.9397690892219543,0.43690699338912964,0.945711612701416,0.45881548523902893,0.9296132922172546,0.4537909924983978,0.937844455242157,0.4522700011730194,0.9435217976570129,0.45123204588890076,0.949455976486206,0.46654534339904785,0.9311092495918274,0.46339404582977295,0.9371164441108704,0.4615727365016937,0.9418516159057617,0.46049731969833374,0.9468877911567688
1,0.5148710608482361,0.6233172416687012,0.5237933397293091,0.5983569025993347,0.5297091007232666,0.5991337895393372,0.5354719758033752,0.5999712944030762,0.5072811245918274,0.5980610847473145,0.5020349621772766,0.5982638597488403,0.4970304071903229,0.5986257195472717,0.544001579284668,0.6111539006233215,0.489668071269989,0.609445333480835,0.5256356000900269,0.6469931602478027,0.5055168271064758,0.6465241312980652,0.5878952741622925,0.7494701743125916,0.44539356231689453,0.7462828159332275,0.617964506149292,0.915355920791626,0.4142453074455261,0.8997189998626709,0.599773108959198,0.9154230952262878,0.4437074363231659,0.9185384511947632,0.5922650694847107,0.9280772805213928,0.44436201453208923,0.9371841549873352,0.5837189555168152,0.9069964289665222,0.4561881124973297,0.9137397408485413,0.5838238596916199,0.9019926190376282,0.4575516879558563,0.9074146747589111,0.5852429866790771,0.9046987891197205,0.5761642456054688,0.91499924659729,0.5690946578979492,0.9250656366348267,0.5634731650352478,0.9366908669471741,0.5589226484298706,0.9481993317604065,0.5793259739875793,0.9054654836654663,0.581691563129425,0.9135139584541321,0.5844061970710754,0.9224569201469421,0.5877359509468079,0.9315488338470459,0.5890206098556519,0.9022338390350342,0.5926396250724792,0.9107614755630493,0.5957393646240234,0.9223194122314453,0.5998498797416687,0.931367039680481,0.5964698195457458,0.9014965891838074,0.6011959314346313,0.909528374671936,0.6040481925010681,0.9208285808563232,0.6076503396034241,0.9298861026763916,0.6012864112854004,0.9038466811180115,0.6063710451126099,0.9098063707351685,0.6097162365913391,0.9184595346450806,0.6130350828170776,0.9257334470748901,0.4647977352142334,0.9173381924629211,0.4574333429336548,0.920068085193634,0.4507681429386139,0.9288029074668884,0.4474496841430664,0.9379885196685791,0.44485533237457275,0.9449583292007446,0.4459647238254547,0.9202182292938232,0.4405977725982666,0.9269847273826599,0.4366631507873535,0.9346379041671753,0.43338149785995483,0.9421859383583069,0.45027288794517517,0.91966313123703,0.44663307070732117,0.9342381954193115,0.444713294506073,0.9450893402099609,0.44254064559936523,0.9533188343048096,0.45681968331336975,0.9208083748817444,0.45467692613601685,0.9363242387771606,0.45426931977272034,0.9449052214622498,0.45362016558647156,0.94986891746521,0.4639919400215149,0.9222549200057983,0.461553692817688,0.9362632632255554,0.4606122076511383,0.9429400563240051,0.4598976969718933,0.9468814134597778
2,0.5147851705551147,0.6249245405197144,0.5237064957618713,0.5995292663574219,0.52962726354599,0.6003314852714539,0.5354368090629578,0.6011295318603516,0.5069687366485596,0.5993045568466187,0.5016443133354187,0.5995060801506042,0.49657949805259705,0.5998795628547668,0.5440042614936829,0.6120098829269409,0.4894160032272339,0.6108660697937012,0.5256168842315674,0.6487950086593628,0.5054145455360413,0.6482107639312744,0.5878913402557373,0.7520859837532043,0.4454272389411926,0.7475358843803406,0.6267921328544617,0.9109692573547363,0.4097123444080353,0.9001114964485168,0.5996302366256714,0.9140254855155945,0.4444495141506195,0.9190450310707092,0.5925047397613525,0.9290945529937744,0.44536563754081726,0.9347187876701355,0.583522379398346,0.9083635807037354,0.4564611613750458,0.9120749831199646,0.5837411880493164,0.9029931426048279,0.4577081501483917,0.9069821834564209,0.5820956826210022,0.9134098291397095,0.5759337544441223,0.9266452789306641,0.5707042217254639,0.937283992767334,0.5651041269302368,0.9471221566200256,0.5590353012084961,0.956429123878479,0.5754795670509338,0.9122359156608582,0.5779707431793213,0.921371340751648,0.5786387920379639,0.9286543726921082,0.5787100195884705,0.9365883469581604,0.5816594362258911,0.9043856263160706,0.5868008732795715,0.9140297770500183,0.5909254550933838,0.9245108366012573,0.5949103236198425,0.9316205978393555,0.587230920791626,0.9002789258956909,0.5923161506652832,0.9105052351951599,0.5961509943008423,0.9221030473709106,0.5996664762496948,0.9294849634170532,0.5925252437591553,0.8999574184417725,0.5977239608764648,0.9079138040542603,0.6014478802680969,0.9165618419647217,0.6047936081886292,0.9232288002967834,0.46280336380004883,0.9147403240203857,0.45406293869018555,0.9167146682739258,0.4458911120891571,0.9264069199562073,0.4410344064235687,0.93479984998703,0.43628549575805664,0.9390555620193481,0.44482728838920593,0.9230424761772156,0.43863484263420105,0.9269199371337891,0.43392083048820496,0.9314460754394531,0.4301542639732361,0.9370087385177612,0.4500798285007477,0.9236655235290527,0.4452982544898987,0.9313499927520752,0.44151175022125244,0.937800943851471,0.43907299637794495,0.9435058236122131,0.4570757746696472,0.9241755604743958,0.4555405378341675,0.9340708255767822,0.45526838302612305,0.9402763843536377,0.45512422919273376,0.945386528968811,0.4643273949623108,0.9239364266395569,0.4631330966949463,0.9335023164749146,0.4627537429332733,0.9390106797218323,0.46302318572998047,0.9431555867195129
3,0.514889121055603,0.6253064870834351,0.5237781405448914,0.5999091863632202,0.5296739339828491,0.6007094383239746,0.5354782342910767,0.6014981865882874,0.5069780349731445,0.5997574925422668,0.5016273856163025,0.6000036597251892,0.49654003977775574,0.6004123687744141,0.5440149903297424,0.6123201251029968,0.48937806487083435,0.6113787293434143,0.5256764888763428,0.6490170359611511,0.5054382681846619,0.6485361456871033,0.5878351926803589,0.7524919509887695,0.44540321826934814,0.750546395778656,0.6279560327529907,0.9095933437347412,0.41128286719322205,0.9135789275169373,0.5994676351547241,0.912443220615387,0.4453684985637665,0.9194270968437195,0.5926225185394287,0.9291040897369385,0.4491669833660126,0.9332108497619629,0.5835134387016296,0.9088152050971985,0.4567224383354187,0.911197304725647,0.583738386631012,0.9031187295913696,0.45788171887397766,0.9070626497268677,0.592627763748169,0.9121031761169434,0.5822039246559143,0.9263906478881836,0.5728361010551453,0.9367161989212036,0.5665118098258972,0.9470267295837402,0.5611396431922913,0.957925021648407,0.571668267250061,0.9196145534515381,0.5661368370056152,0.9313901662826538,0.5638934969902039,0.941229522228241,0.5626089572906494,0.9509950280189514,0.5782001614570618,0.9102804660797119,0.5759052038192749,0.9191972017288208,0.5774605870246887,0.9273983836174011,0.5795945525169373,0.9338679313659668,0.5869311094284058,0.9036248922348022,0.5891051888465881,0.9154930114746094,0.5925638675689697,0.9250999093055725,0.5952351689338684,0.9327433705329895,0.5963307023048401,0.9003728032112122,0.6012588739395142,0.9120291471481323,0.6048272848129272,0.9224719405174255,0.6074709892272949,0.9304761290550232,0.464132696390152,0.9178528189659119,0.4547499120235443,0.9181957840919495,0.4472498595714569,0.9232789874076843,0.44236016273498535,0.9260666370391846,0.4391425848007202,0.926300048828125,0.44745391607284546,0.9238022565841675,0.44147250056266785,0.928497314453125,0.4378494322299957,0.9340378046035767,0.43515193462371826,0.9408693909645081,0.4531964063644409,0.9238818883895874,0.448579341173172,0.9311904311180115,0.44673600792884827,0.9385848641395569,0.4461681842803955,0.9466749429702759,0.46025314927101135,0.9239953756332397,0.45827558636665344,0.9314610362052917,0.45772436261177063,0.9373868703842163,0.4577582776546478,0.9433326125144958,0.4675498902797699,0.9239057302474976,0.46610385179519653,0.9300645589828491,0.4652576744556427,0.9350013732910156,0.4648033380508423,0.9394097328186035
4,0.5148935914039612,0.626205325126648,0.5237595438957214,0.6008861064910889,0.5296118259429932,0.6016091108322144,0.535369873046875,0.6023238897323608,0.5069674253463745,0.6009393334388733,0.5016141533851624,0.6012081503868103,0.49645528197288513,0.6016656756401062,0.5438645482063293,0.6129039525985718,0.4892694354057312,0.6123756170272827,0.5256310701370239,0.6495838761329651,0.5054429173469543,0.6495198607444763,0.5877081751823425,0.7526671290397644,0.4454383850097656,0.7515064477920532,0.628132164478302,0.9171606302261353,0.41050487756729126,0.9162217378616333,0.5999438166618347,0.9126741290092468,0.4453977346420288,0.9196617007255554,0.5945278406143188,0.9292941689491272,0.4494224190711975,0.9333851337432861,0.5843573212623596,0.9106602668762207,0.45894911885261536,0.9114528894424438,0.5845085382461548,0.9043046832084656,0.45922866463661194,0.9072152972221375,0.5898521542549133,0.9141685366630554,0.5829208493232727,0.9274787902832031,0.5762133002281189,0.9363743662834167,0.5718888640403748,0.9438350200653076,0.5674328804016113,0.9516090154647827,0.5722360014915466,0.9183211922645569,0.5661988258361816,0.929358184337616,0.564420223236084,0.9381837248802185,0.5636618137359619,0.9473336935043335,0.5769109129905701,0.9101788997650146,0.572873055934906,0.9214686751365662,0.5734173655509949,0.9290561079978943,0.5747067928314209,0.93565833568573,0.5841903686523438,0.9049153923988342,0.5864306688308716,0.9146174192428589,0.5907406210899353,0.9219159483909607,0.5935775637626648,0.9275822043418884,0.5923230648040771,0.9014686942100525,0.5962246060371399,0.9095225930213928,0.6007481217384338,0.9172523617744446,0.603724479675293,0.9237248301506042,0.4609944522380829,0.9182536005973816,0.45922762155532837,0.9238272905349731,0.4627801477909088,0.9350653886795044,0.4695764482021332,0.9462586641311646,0.4766412675380707,0.9557309746742249,0.4493067264556885,0.9243349432945251,0.4444710612297058,0.9321824908256531,0.4409697353839874,0.9406418204307556,0.4377763271331787,0.9481512308120728,0.4504466652870178,0.9215130805969238,0.44830507040023804,0.9375941753387451,0.4489613175392151,0.9460551142692566,0.44913822412490845,0.9510276317596436,0.45401787757873535,0.9219107627868652,0.4533022344112396,0.9398632645606995,0.4545734226703644,0.9431732892990112,0.4559175670146942,0.9431567788124084,0.4580998122692108,0.9236045479774475,0.45733773708343506,0.9368293285369873,0.45767223834991455,0.9404239654541016,0.4577426612377167,0.9417507648468018
5,0.5146812796592712,0.6269238591194153,0.5234683752059937,0.6018573045730591,0.5292187333106995,0.6025782823562622,0.5349747538566589,0.6033298969268799,0.5067502856254578,0.6019816398620605,0.5012502074241638,0.6022477746009827,0.49594083428382874,0.6027321219444275,0.5438618063926697,0.6140117645263672,0.4889342486858368,0.6133276224136353,0.5253861546516418,0.6503195762634277,0.505305290222168,0.650299608707428,0.5877749919891357,0.7541289925575256,0.44520872831344604,0.7542027235031128,0.6276102066040039,0.9352611303329468,0.41709911823272705,0.9249011278152466,0.6000083088874817,0.9063206911087036,0.445156067609787,0.9265379905700684,0.5945883989334106,0.9058053493499756,0.4447113275527954,0.9408318996429443,0.5877048373222351,0.8792279958724976,0.4548623263835907,0.9132327437400818,0.587409257888794,0.8790403604507446,0.4563891589641571,0.909099817276001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4595224857330322,0.9264467358589172,0.45415735244750977,0.9254850149154663,0.44917187094688416,0.9287004470825195,0.4455429017543793,0.9315120577812195,0.4437282383441925,0.9336667656898499,0.44862255454063416,0.932844340801239,0.4454509913921356,0.9414481520652771,0.44441646337509155,0.947960615158081,0.4437662959098816,0.9541308283805847,0.4522596597671509,0.9337975978851318,0.45110976696014404,0.9450793266296387,0.4505190849304199,0.9536349177360535,0.45110198855400085,0.9601836204528809,0.4572003483772278,0.9334298968315125,0.4575544595718384,0.9448910355567932,0.4576094448566437,0.9521169662475586,0.4577626585960388,0.9574446082115173,0.4623727798461914,0.9314480423927307,0.46208426356315613,0.940674901008606,0.4616509675979614,0.9474097490310669,0.4613802433013916,0.9524804353713989
6,0.5146450400352478,0.6269710063934326,0.5234588384628296,0.6021177768707275,0.5292083621025085,0.6030924916267395,0.5349788069725037,0.6041590571403503,0.5067319869995117,0.6019653677940369,0.5011629462242126,0.6021556854248047,0.4957805573940277,0.6025800108909607,0.5441000461578369,0.6151016354560852,0.48886436223983765,0.6133074164390564,0.5253680944442749,0.6509286165237427,0.5051711797714233,0.6503540277481079,0.5877557992935181,0.7558625936508179,0.44512808322906494,0.7544326782226562,0.623644232749939,0.9533206224441528,0.4172990620136261,0.9158646464347839,0.6008199453353882,0.8907751441001892,0.44512253999710083,0.926231861114502,0.5950400829315186,0.8582335114479065,0.44485196471214294,0.9429096579551697,0.5905849933624268,0.8375133872032166,0.45473429560661316,0.9145426154136658,0.5903832316398621,0.8436950445175171,0.4563881456851959,0.9091522693634033,0.594516396522522,0.868052065372467,0.5840314626693726,0.8571991920471191,0.5761069059371948,0.8427071571350098,0.5719699859619141,0.8311847448348999,0.570838987827301,0.8225823044776917,0.5854126811027527,0.8073696494102478,0.586234450340271,0.7801631689071655,0.5877000093460083,0.761924684047699,0.5888389945030212,0.7461888790130615,0.5958072543144226,0.811062753200531,0.5939459800720215,0.8033591508865356,0.5888766646385193,0.8212490677833557,0.5851888060569763,0.8372493386268616,0.6051198840141296,0.8199499249458313,0.6060634851455688,0.8108943104743958,0.6018773913383484,0.8244456052780151,0.5980120301246643,0.8375210762023926,0.613339900970459,0.8327692747116089,0.6162932515144348,0.8263458013534546,0.6146987676620483,0.8295875191688538,0.6129615306854248,0.8327788710594177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.5159749388694763,0.6298069953918457,0.5241825580596924,0.6047321557998657,0.5297825932502747,0.6055493950843811,0.5353831052780151,0.6064326763153076,0.5075055360794067,0.6043556332588196,0.5017083883285522,0.6045177578926086,0.4960985779762268,0.604984700679779,0.5439451336860657,0.6163617372512817,0.48884260654449463,0.6157008409500122,0.52653968334198,0.6531965136528015,0.5061410665512085,0.6530283689498901,0.5879338979721069,0.7572976350784302,0.4451288878917694,0.7566862106323242,0.6335048675537109,0.9570237994194031,0.41594189405441284,0.9265673160552979,0.6045321226119995,0.8177468776702881,0.44519034028053284,0.9273009300231934,0.5974409580230713,0.7805408239364624,0.44686850905418396,0.9448021054267883,0.5937604308128357,0.7585462331771851,0.4566792845726013,0.9190517067909241,0.5929133296012878,0.7715654969215393,0.45796236395835876,0.9129844307899475,0.5960960388183594,0.8036671876907349,0.5843837857246399,0.7877999544143677,0.5770397186279297,0.7632350921630859,0.5745823383331299,0.7439000010490417,0.5749779343605042,0.7352134585380554,0.587385356426239,0.7322965264320374,0.5877241492271423,0.6972297430038452,0.5883814096450806,0.6766417622566223,0.5893797874450684,0.6589205861091614,0.5965839624404907,0.7377116084098816,0.5933288931846619,0.7217950820922852,0.5866702198982239,0.7421927452087402,0.58326655626297,0.7592229843139648,0.6049531698226929,0.7470585107803345,0.6020846366882324,0.7322130799293518,0.595157265663147,0.7502509951591492,0.591553807258606,0.7654110193252563,0.612935483455658,0.7594873905181885,0.6125279068946838,0.7451229691505432,0.6065455675125122,0.7527652382850647,0.6028462052345276,0.7617846131324768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.5171678066253662,0.6335286498069763,0.525364100933075,0.6083801984786987,0.5308526158332825,0.6090452671051025,0.536131739616394,0.6097176671028137,0.5084145665168762,0.6072368025779724,0.5025011897087097,0.607088029384613,0.49676138162612915,0.6072646379470825,0.5439243316650391,0.6182421445846558,0.48882246017456055,0.6171724200248718,0.527750551700592,0.6569268703460693,0.5064495205879211,0.6565843820571899,0.5873326659202576,0.7587810158729553,0.4441966116428375,0.7615035176277161,0.6396997570991516,0.9544548988342285,0.41499650478363037,0.9373459815979004,0.6062866449356079,0.7768921256065369,0.44658511877059937,0.9372561573982239,0.6002052426338196,0.7317917346954346,0.4515485465526581,0.9566503167152405,0.5957138538360596,0.7149083018302917,0.46093907952308655,0.9399539232254028,0.5949475169181824,0.7301725149154663,0.4611850678920746,0.9332749247550964,0.5967140197753906,0.7686991095542908,0.5845955014228821,0.7543502449989319,0.5758585929870605,0.7315677404403687,0.5737734436988831,0.712490439414978,0.5802521705627441,0.7052710652351379,0.5884137153625488,0.6964976787567139,0.5891398191452026,0.6617285013198853,0.5897673964500427,0.6419572830200195,0.5908920168876648,0.6252039670944214,0.5968784689903259,0.7023192644119263,0.5936571359634399,0.6848520040512085,0.5880569815635681,0.7061827182769775,0.5856729745864868,0.7226874232292175,0.605230987071991,0.7112600803375244,0.6029013991355896,0.693731963634491,0.5966492295265198,0.7127135396003723,0.5938963890075684,0.7277672290802002,0.6136508584022522,0.7231154441833496,0.6137245893478394,0.7052714824676514,0.6070131659507751,0.713727593421936,0.6024407744407654,0.7234397530555725,0.472721129655838,0.959250807762146,0.4673653244972229,0.9631460309028625,0.46296051144599915,0.9746946692466736,0.4617999494075775,0.9898853302001953,0.46142810583114624,1.0035701990127563,0.4511985182762146,0.9541155099868774,0.44132956862449646,0.9678806662559509,0.437305212020874,0.9805441498756409,0.4345225393772125,0.9941325187683105,0.45576900243759155,0.9522513747215271,0.4466068148612976,0.9775801301002502,0.44428855180740356,0.9970149993896484,0.44349634647369385,1.016220211982727,0.46303465962409973,0.954261064529419,0.456083208322525,0.9791567921638489,0.4544167220592499,0.9980584383010864,0.4539051055908203,1.0146656036376953,0.4715433120727539,0.9578097462654114,0.46738719940185547,0.9741543531417847,0.4644893407821655,0.9841176867485046,0.4627300202846527,0.9927525520324707
9,0.518984317779541,0.6395469903945923,0.5270230770111084,0.6142693758010864,0.5323605537414551,0.6142943501472473,0.5376102924346924,0.6142843961715698,0.5098472833633423,0.6133079528808594,0.5034869909286499,0.6127952337265015,0.49759620428085327,0.6124877333641052,0.5442237854003906,0.6202026605606079,0.4888060986995697,0.6199072599411011,0.5289966464042664,0.6618901491165161,0.5074511170387268,0.6627174019813538,0.5868483781814575,0.7587952613830566,0.4437424838542938,0.7630780339241028,0.6405068039894104,0.9482753276824951,0.41496846079826355,0.9379788041114807,0.6093401312828064,0.7622504234313965,0.4478412866592407,0.9494355320930481,0.6045278906822205,0.7176601886749268,0.45448029041290283,0.9718528389930725,0.5978915691375732,0.6983721852302551,0.4632871448993683,0.9565808176994324,0.596838653087616,0.716524064540863,0.4630252420902252,0.9455186724662781,0.6005260348320007,0.7552562952041626,0.587483823299408,0.7380350232124329,0.578424334526062,0.7141687273979187,0.5765692591667175,0.6917054057121277,0.5843102931976318,0.6853694319725037,0.5904433131217957,0.6798219084739685,0.5908944606781006,0.6441331505775452,0.5914362668991089,0.6232225298881531,0.5924773216247559,0.6051485538482666,0.5990282893180847,0.6846880316734314,0.5971823930740356,0.6668130159378052,0.5914332270622253,0.6890765428543091,0.5887251496315002,0.7070304751396179,0.6074645519256592,0.6926673054695129,0.6059424877166748,0.6737105250358582,0.6000497341156006,0.6925240159034729,0.5974594354629517,0.7091885209083557,0.6159688830375671,0.7035388350486755,0.6150100231170654,0.6860949397087097,0.6093003153800964,0.6946188807487488,0.6060370802879333,0.7050257325172424,0.4588543176651001,0.9605412483215332,0.4700014591217041,0.9644312262535095,0.48242461681365967,0.9757688641548157,0.490262895822525,0.9831005334854126,0.4941869378089905,0.9926132559776306,0.47203922271728516,0.9726114273071289,0.4700310230255127,0.993613064289093,0.46886345744132996,1.0094224214553833,0.4676424562931061,1.0207246541976929,0.4618394374847412,0.9739404320716858,0.4585886299610138,0.9985378384590149,0.45798009634017944,1.0134614706039429,0.4581006169319153,1.0235333442687988,0.4526268243789673,0.9755604267120361,0.4492661952972412,0.9987595677375793,0.4488229751586914,1.014520287513733,0.4485980272293091,1.0254089832305908,0.44570204615592957,0.976348340511322,0.4416262209415436,0.9937394261360168,0.4403734505176544,1.0064265727996826,0.4394630193710327,1.0165891647338867
