frame,feature0,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,feature24,feature25,feature26,feature27,feature28,feature29,feature30,feature31,feature32,feature33,feature34,feature35,feature36,feature37,feature38,feature39,feature40,feature41,feature42,feature43,feature44,feature45,feature46,feature47,feature48,feature49,feature50,feature51,feature52,feature53,feature54,feature55,feature56,feature57,feature58,feature59,feature60,feature61,feature62,feature63,feature64,feature65,feature66,feature67,feature68,feature69,feature70,feature71,feature72,feature73,feature74,feature75,feature76,feature77,feature78,feature79,feature80,feature81,feature82,feature83,feature84,feature85,feature86,feature87,feature88,feature89,feature90,feature91,feature92,feature93,feature94,feature95,feature96,feature97,feature98,feature99,feature100,feature101,feature102,feature103,feature104,feature105,feature106,feature107
0,0.5021257996559143,0.7889059782028198,0.5,1.0275444984436035,0.4828282594680786,0.7349655032157898,0.519845724105835,0.7329438328742981,0.4673062264919281,0.7561529278755188,0.5366789102554321,0.7524815797805786,0.4173683226108551,1.0447043180465698,0.5826317667961121,1.0103847980499268,0.40990665555000305,1.392127513885498,0.6192725896835327,1.3822137117385864,0.44163358211517334,1.6432199478149414,0.5973882079124451,1.1279020309448242,0.5374757647514343,0.9166666865348816,0.4644196927547455,0.8225684762001038,0.4103827178478241,0.7110158205032349,0.3824268579483032,0.6216762065887451,0.41267263889312744,0.5768502950668335,0.48022857308387756,0.4940384030342102,0.48878583312034607,0.2961210310459137,0.49074018001556396,0.17914175987243652,0.49662455916404724,0.0833333358168602,0.5265625715255737,0.5298621654510498,0.5025600790977478,0.42100709676742554,0.46185654401779175,0.5445235371589661,0.44815167784690857,0.6450170874595642,0.572361946105957,0.583398699760437,0.558278501033783,0.4803731441497803,0.5160198211669922,0.5829541087150574,0.4963442087173462,0.6713876724243164,0.6175731420516968,0.6584557890892029,0.6119989156723022,0.5721994042396545,0.5718469023704529,0.6179252862930298,0.54767245054245,0.669792890548706,0.4460344910621643,0.08333348482847214,0.5745310187339783,0.1783781796693802,0.6741483807563782,0.34186214208602905,0.7276273965835571,0.519242525100708,0.7254444360733032,0.6785591840744019,0.5562295913696289,0.36886218190193176,0.5347959995269775,0.6050994396209717,0.5263074636459351,0.7616961002349854,0.5227118730545044,0.8761540651321411,0.45961084961891174,0.3792308568954468,0.44405609369277954,0.6302855014801025,0.44065386056900024,0.7967548966407776,0.44239601492881775,0.9166668057441711,0.37863990664482117,0.38995176553726196,0.36030054092407227,0.6354835629463196,0.3555218279361725,0.7888014316558838,0.35388466715812683,0.9073882699012756,0.3174135088920593,0.3951607942581177,0.29044315218925476,0.6016894578933716,0.27896565198898315,0.7364906072616577,0.27237269282341003,0.8457010984420776
1,0.5021532773971558,0.7882310152053833,0.5,1.028640866279602,0.48293280601501465,0.734443724155426,0.5198047757148743,0.7324926853179932,0.4674474000930786,0.7556761503219604,0.536560595035553,0.7521290183067322,0.4175034761428833,1.0474103689193726,0.5824965238571167,1.009871244430542,0.4102139174938202,1.3914029598236084,0.6187771558761597,1.3799618482589722,0.44183236360549927,1.642259120941162,0.5972270369529724,1.1269969940185547,0.537494421005249,0.9166666269302368,0.46528881788253784,0.8205321431159973,0.41120684146881104,0.7076687812805176,0.3825320601463318,0.6136872172355652,0.4134705364704132,0.5703567266464233,0.48160693049430847,0.4937136471271515,0.48955509066581726,0.2953740060329437,0.4912174940109253,0.17891786992549896,0.4967258870601654,0.08333328366279602,0.5272253751754761,0.5290970206260681,0.5031738877296448,0.4181734621524811,0.46301132440567017,0.5407463312149048,0.4485933184623718,0.642142117023468,0.5725168585777283,0.5824214816093445,0.5592131614685059,0.47558364272117615,0.5170040726661682,0.5766037106513977,0.49598726630210876,0.6666299104690552,0.617467999458313,0.6574724912643433,0.6136735677719116,0.5694534778594971,0.5733063220977783,0.6111807823181152,0.5466774106025696,0.6621537208557129,0.446979284286499,0.08333318680524826,0.5739311575889587,0.17947638034820557,0.6723039746284485,0.3395841121673584,0.7237876653671265,0.5144546627998352,0.7208606004714966,0.670927107334137,0.5564929842948914,0.3698487877845764,0.5350807309150696,0.6066838502883911,0.5266803503036499,0.7636582255363464,0.5225849151611328,0.8788397312164307,0.460889607667923,0.3811735212802887,0.44556060433387756,0.6325703263282776,0.44117334485054016,0.7973030209541321,0.44127339124679565,0.9166665077209473,0.3807452917098999,0.39171308279037476,0.3626069724559784,0.6394446492195129,0.3560316264629364,0.7901475429534912,0.3532518148422241,0.9048039317131042,0.3202110230922699,0.3958601653575897,0.293146014213562,0.6041468977928162,0.281623899936676,0.7345730662345886,0.27621251344680786,0.8375231623649597
2,0.5017973780632019,0.787434458732605,0.5,1.0291823148727417,0.48269444704055786,0.7337848544120789,0.5194085240364075,0.7321895956993103,0.467366486787796,0.7554019689559937,0.5362967848777771,0.7521302103996277,0.4175679385662079,1.0487064123153687,0.582431972026825,1.0096583366394043,0.41035956144332886,1.391317367553711,0.6183018684387207,1.3797874450683594,0.4418805241584778,1.6420704126358032,0.597321093082428,1.1285426616668701,0.5368850827217102,0.916666567325592,0.46382054686546326,0.818213164806366,0.41051509976387024,0.7064406871795654,0.38223886489868164,0.6142955422401428,0.4125978648662567,0.5678380131721497,0.48326754570007324,0.49628353118896484,0.4911118447780609,0.29620012640953064,0.49221071600914,0.17978011071681976,0.49776360392570496,0.08333326131105423,0.5284886360168457,0.5332180857658386,0.505236804485321,0.418974906206131,0.46366414427757263,0.5431721806526184,0.4490753710269928,0.6453165411949158,0.5733879208564758,0.5867477059364319,0.561062216758728,0.4766943156719208,0.5178520679473877,0.5768523216247559,0.4965009391307831,0.6665651798248291,0.617760956287384,0.6612057089805603,0.6172806024551392,0.5680473446846008,0.5761518478393555,0.6068840026855469,0.5485144257545471,0.6568338871002197,0.4475554823875427,0.08333318680524826,0.5751362442970276,0.17965447902679443,0.6743733286857605,0.3428666293621063,0.7274326682090759,0.5193845629692078,0.7246627807617188,0.6778842210769653,0.556342601776123,0.36877521872520447,0.5359782576560974,0.6061336994171143,0.5272760987281799,0.7650837302207947,0.5229958891868591,0.8820418119430542,0.46018192172050476,0.3796916902065277,0.4450147747993469,0.6296271085739136,0.44031745195388794,0.7957888841629028,0.44013673067092896,0.9166665077209473,0.3789755403995514,0.3904968202114105,0.36131396889686584,0.6361522674560547,0.3543831706047058,0.7889679670333862,0.3511359989643097,0.9064042568206787,0.3173838257789612,0.39517998695373535,0.2902698814868927,0.6039228439331055,0.27850428223609924,0.7354385256767273,0.2725672721862793,0.8396714925765991
3,0.5012120008468628,0.7863523364067078,0.5,1.0275944471359253,0.48210904002189636,0.7329419851303101,0.5187376141548157,0.7311432361602783,0.46690335869789124,0.7549931406974792,0.535659670829773,0.7515551447868347,0.4174840748310089,1.046250581741333,0.5825160145759583,1.0089383125305176,0.4101938307285309,1.3908007144927979,0.618158221244812,1.3800034523010254,0.44155293703079224,1.6410515308380127,0.5970005393028259,1.1322472095489502,0.5345056653022766,0.9166666269302368,0.46242648363113403,0.8206782937049866,0.4101541340351105,0.7099186778068542,0.38195717334747314,0.6207298040390015,0.4100683033466339,0.5700916647911072,0.48269763588905334,0.4962765574455261,0.49101608991622925,0.29683801531791687,0.49169832468032837,0.1803331822156906,0.497798353433609,0.08333328366279602,0.5283262133598328,0.5363015532493591,0.5054703950881958,0.4229315221309662,0.46200308203697205,0.5488479733467102,0.44790729880332947,0.6504011154174805,0.5735087990760803,0.5922310948371887,0.5621234178543091,0.48197701573371887,0.5183908939361572,0.584823727607727,0.4990732967853546,0.6736330389976501,0.6180334091186523,0.6682476997375488,0.6180428862571716,0.5712523460388184,0.5763131380081177,0.6143327355384827,0.5508381128311157,0.6657674312591553,0.44474178552627563,0.08333328366279602,0.5757113099098206,0.18258844316005707,0.6776934266090393,0.3485044836997986,0.7318515777587891,0.5272789597511292,0.7290259003639221,0.6881376504898071,0.5567626953125,0.376642644405365,0.5355406999588013,0.6130977869033813,0.5267990827560425,0.7706191539764404,0.5228949785232544,0.8867493271827698,0.4588194787502289,0.38673290610313416,0.4432728588581085,0.6322320103645325,0.4387354254722595,0.7965730428695679,0.4393380880355835,0.916666567325592,0.37641575932502747,0.39725616574287415,0.3579687774181366,0.6357254385948181,0.35183125734329224,0.7865769863128662,0.3494836688041687,0.9045384526252747,0.31403353810310364,0.40192553400993347,0.2861374616622925,0.6067420244216919,0.27421945333480835,0.7377710938453674,0.2681485414505005,0.8430427312850952
4,0.501166820526123,0.7861355543136597,0.5,1.0259509086608887,0.4818654954433441,0.7327525019645691,0.5186376571655273,0.7306923270225525,0.4665202796459198,0.7547167539596558,0.5355444550514221,0.7503219246864319,0.4175431430339813,1.0452802181243896,0.5824567675590515,1.0066214799880981,0.4102795124053955,1.3898736238479614,0.6184810400009155,1.379831075668335,0.4415682554244995,1.6399781703948975,0.5975183844566345,1.1315863132476807,0.5323646068572998,0.9166666269302368,0.4609698951244354,0.8197140097618103,0.4093511402606964,0.7042988538742065,0.38136306405067444,0.6129695773124695,0.41380178928375244,0.569051206111908,0.48371443152427673,0.4954858422279358,0.4912545382976532,0.29667845368385315,0.4915188252925873,0.1804148554801941,0.4981714189052582,0.08333329856395721,0.5295088291168213,0.536152184009552,0.5067279934883118,0.42077338695526123,0.46152374148368835,0.5457622408866882,0.447006493806839,0.6457083225250244,0.574519157409668,0.5940104126930237,0.5602995157241821,0.48537108302116394,0.515713095664978,0.5888248085975647,0.49779972434043884,0.6760225892066956,0.6186368465423584,0.6715648174285889,0.6174076199531555,0.5714554786682129,0.5755106806755066,0.6135867238044739,0.5516604781150818,0.6641206741333008,0.44632986187934875,0.08333338797092438,0.5737223625183105,0.18152254819869995,0.6734263896942139,0.3424069881439209,0.7279384732246399,0.514275074005127,0.7238177061080933,0.6698305606842041,0.555736780166626,0.38340240716934204,0.537116289138794,0.6216922998428345,0.5298205614089966,0.7771809697151184,0.5264638662338257,0.8910278677940369,0.46004876494407654,0.39341896772384644,0.4457445740699768,0.6382821798324585,0.44126996397972107,0.7991102337837219,0.44185295701026917,0.9166667461395264,0.3789728879928589,0.4016660153865814,0.36082547903060913,0.6363964676856995,0.3544519245624542,0.7861541509628296,0.35218390822410583,0.902820885181427,0.3173254430294037,0.4038774073123932,0.28968364000320435,0.6044191718101501,0.27795615792274475,0.7317273616790771,0.27206137776374817,0.8332984447479248
5,0.5012387037277222,0.7863535284996033,0.5,1.0248932838439941,0.4817897081375122,0.7327623963356018,0.5186180472373962,0.7305936813354492,0.46629899740219116,0.7545334100723267,0.5355145335197449,0.7497862577438354,0.41759735345840454,1.0448076725006104,0.5824026465415955,1.0049790143966675,0.41031455993652344,1.389386534690857,0.6188651323318481,1.3792279958724976,0.4415942430496216,1.6393365859985352,0.5983057618141174,1.131215214729309,0.5332333445549011,0.9166667461395264,0.4623548984527588,0.8224750757217407,0.41003698110580444,0.7057569026947021,0.3826701045036316,0.613274097442627,0.41433271765708923,0.5704172849655151,0.48316043615341187,0.49415189027786255,0.4911527931690216,0.2953711748123169,0.49215438961982727,0.17978055775165558,0.4985934793949127,0.08333340287208557,0.5290496945381165,0.5337694883346558,0.5070323944091797,0.41942936182022095,0.46170490980148315,0.5385845899581909,0.44584783911705017,0.6352600455284119,0.5735965371131897,0.5912133455276489,0.5606604814529419,0.48441630601882935,0.5165241956710815,0.583962619304657,0.497892290353775,0.6686850786209106,0.6173300743103027,0.6688545346260071,0.6162395477294922,0.5696743130683899,0.5747110247612,0.6096495389938354,0.5498946309089661,0.6595368981361389,0.4469425082206726,0.08333348482847214,0.5733977556228638,0.18200349807739258,0.6732101440429688,0.3426856994628906,0.727439820766449,0.5158924460411072,0.7234376668930054,0.6721041202545166,0.5537415146827698,0.37803488969802856,0.5344304442405701,0.6177855730056763,0.5275800228118896,0.7741978168487549,0.5252444744110107,0.8880227208137512,0.45864105224609375,0.38686296343803406,0.4440387189388275,0.6367135643959045,0.44044551253318787,0.7997367978096008,0.44241371750831604,0.9166668057441711,0.37816381454467773,0.39518532156944275,0.35988813638687134,0.6338563561439514,0.3542560338973999,0.785026490688324,0.3529110252857208,0.9012824892997742,0.31652572751045227,0.3979380428791046,0.2883729040622711,0.6001632809638977,0.2773364186286926,0.7300658226013184,0.2725600004196167,0.833624541759491
6,0.5014678239822388,0.786773681640625,0.5,1.0240839719772339,0.481896311044693,0.7332042455673218,0.5188264846801758,0.7310192584991455,0.4662483334541321,0.7546657919883728,0.5357438921928406,0.7495502829551697,0.41764286160469055,1.0444427728652954,0.5823571085929871,1.0037250518798828,0.41039222478866577,1.3889745473861694,0.6192315220832825,1.3777942657470703,0.4417087137699127,1.6387745141983032,0.5986507534980774,1.1306209564208984,0.5333603024482727,0.9166666865348816,0.4619436264038086,0.8215917944908142,0.41001635789871216,0.7085795998573303,0.3823786675930023,0.6165903806686401,0.41487398743629456,0.5725266337394714,0.4822922945022583,0.4911927878856659,0.4901196360588074,0.2948340177536011,0.4917600452899933,0.1787530481815338,0.49818506836891174,0.08333338052034378,0.5287349820137024,0.5311773419380188,0.5074779987335205,0.4211679697036743,0.46410274505615234,0.543201208114624,0.4483036696910858,0.6418021321296692,0.5738625526428223,0.5892472267150879,0.5615887641906738,0.4876306354999542,0.5176376104354858,0.5877522230148315,0.4973721206188202,0.6726475358009338,0.6176212430000305,0.6677530407905579,0.6156038045883179,0.5740889310836792,0.5741671919822693,0.6168537735939026,0.5483704805374146,0.6673773527145386,0.4467538595199585,0.08333317935466766,0.5734273195266724,0.18102166056632996,0.6737031936645508,0.3415212333202362,0.7279595136642456,0.5148533582687378,0.7220531702041626,0.6710933446884155,0.5542462468147278,0.37129348516464233,0.5338636040687561,0.612531840801239,0.5260258913040161,0.769741415977478,0.5228391885757446,0.8843526840209961,0.4596690535545349,0.3809156119823456,0.44481754302978516,0.6318956613540649,0.4411223828792572,0.7977040410041809,0.44319963455200195,0.9166665077209473,0.3793734312057495,0.3909670114517212,0.36034226417541504,0.6298515200614929,0.3554002344608307,0.7837550640106201,0.3549637794494629,0.9025850892066956,0.31774672865867615,0.3953232169151306,0.28848838806152344,0.597155749797821,0.27693265676498413,0.7279981374740601,0.27204039692878723,0.8322985768318176
7,0.5016875267028809,0.7865433692932129,0.5,1.0246766805648804,0.4820763170719147,0.7330554127693176,0.5188005566596985,0.7307233810424805,0.46645188331604004,0.7544043660163879,0.5354229211807251,0.7483698129653931,0.41781991720199585,1.0468047857284546,0.5821801424026489,1.0025485754013062,0.41065675020217896,1.3884180784225464,0.6185117959976196,1.3758233785629272,0.441916823387146,1.6384183168411255,0.5984536409378052,1.1262104511260986,0.5345252156257629,0.916666567325592,0.4634159207344055,0.8211207389831543,0.41060543060302734,0.7085200548171997,0.38400331139564514,0.6157216429710388,0.413284569978714,0.572039008140564,0.48197802901268005,0.4958832263946533,0.4903946816921234,0.295837938785553,0.49217259883880615,0.1801706999540329,0.49892938137054443,0.08333326131105423,0.5273534655570984,0.5331318378448486,0.5058755278587341,0.4134693443775177,0.4632266163825989,0.5361233949661255,0.4488682746887207,0.6367304921150208,0.5718750953674316,0.5877020955085754,0.5600889325141907,0.4778073728084564,0.517367422580719,0.580651044845581,0.49903059005737305,0.6695907115936279,0.6159965395927429,0.6624337434768677,0.6159393787384033,0.5638903379440308,0.5740286111831665,0.6060816049575806,0.5473009943962097,0.6587457656860352,0.44755253195762634,0.08333338797092438,0.5766215324401855,0.18179315328598022,0.6767261624336243,0.34394583106040955,0.7294689416885376,0.5172967910766602,0.7249583601951599,0.6740173697471619,0.5566328763961792,0.3731309175491333,0.5350586175918579,0.6103038191795349,0.5263169407844543,0.767756998538971,0.5227319598197937,0.8849174976348877,0.4605730175971985,0.381593257188797,0.44477197527885437,0.6261975765228271,0.4397467374801636,0.7923685312271118,0.4407542049884796,0.9166667461395264,0.37903186678886414,0.39127591252326965,0.35996708273887634,0.6234913468360901,0.35299667716026306,0.777989387512207,0.35053205490112305,0.9024336934089661,0.3162859380245209,0.39591193199157715,0.2880559265613556,0.5967434048652649,0.2759474217891693,0.727973222732544,0.27053117752075195,0.8356389999389648
8,0.5016623735427856,0.7865060567855835,0.5,1.0237476825714111,0.48200345039367676,0.7331105470657349,0.5186623334884644,0.7303378582000732,0.46635034680366516,0.7543814778327942,0.5353467464447021,0.7471738457679749,0.4177626371383667,1.0453190803527832,0.5822373628616333,1.002176284790039,0.41058358550071716,1.388475775718689,0.618362545967102,1.3760851621627808,0.4416528642177582,1.6385407447814941,0.5987004637718201,1.127773642539978,0.5335350632667542,0.9166666865348816,0.4612121880054474,0.8203043937683105,0.40916407108306885,0.7071452736854553,0.38377445936203003,0.620083212852478,0.4049385190010071,0.5851706862449646,0.47880637645721436,0.4948331117630005,0.48889002203941345,0.2962745130062103,0.4916328191757202,0.18019209802150726,0.4984731078147888,0.0833333358168602,0.5252711772918701,0.5332455635070801,0.5046269297599792,0.4187034070491791,0.46262872219085693,0.5399267077445984,0.447991281747818,0.6391777396202087,0.5708362460136414,0.5877224802970886,0.5593894720077515,0.4807807505130768,0.5166706442832947,0.582345724105835,0.49788737297058105,0.6698576807975769,0.61622554063797,0.6617191433906555,0.6115399599075317,0.5724635124206543,0.5692939758300781,0.6190053820610046,0.5444789528846741,0.6718900203704834,0.4488231837749481,0.08333328366279602,0.5780702829360962,0.18026719987392426,0.6785561442375183,0.3419034779071808,0.7321390509605408,0.5140747427940369,0.7264982461929321,0.6710538268089294,0.5577666163444519,0.37708303332328796,0.5376774072647095,0.6115996837615967,0.5300478339195251,0.767499566078186,0.5264545679092407,0.8845911622047424,0.4608636498451233,0.38593369722366333,0.4459344744682312,0.6268147230148315,0.4411054253578186,0.7917792201042175,0.4416523575782776,0.916666567325592,0.37867286801338196,0.39535561203956604,0.36027640104293823,0.6263859272003174,0.35372570157051086,0.7787685990333557,0.35156309604644775,0.9023239016532898,0.3157058358192444,0.4000346064567566,0.28770747780799866,0.6016242504119873,0.2745518982410431,0.7317751049995422,0.2678610682487488,0.8386697769165039
9,0.5016018748283386,0.7860302925109863,0.5,1.024288535118103,0.4818514287471771,0.7327556610107422,0.5183783173561096,0.7294816970825195,0.4662761092185974,0.7542195320129395,0.5351472496986389,0.7460647225379944,0.4178476631641388,1.0467047691345215,0.5821523666381836,1.0018723011016846,0.4106657803058624,1.3884085416793823,0.6181764006614685,1.3812675476074219,0.4415716528892517,1.6384443044662476,0.5986238121986389,1.1295357942581177,0.5357269644737244,0.9166667461395264,0.46219852566719055,0.8217874765396118,0.4083889126777649,0.7074284553527832,0.38190799951553345,0.6162917613983154,0.4150512218475342,0.5809023976325989,0.4802234470844269,0.49495524168014526,0.48983699083328247,0.2950153350830078,0.491878867149353,0.1798071712255478,0.498588889837265,0.08333340287208557,0.5270048379898071,0.5333601236343384,0.5045769214630127,0.4196246862411499,0.4648565649986267,0.5466641187667847,0.4528886377811432,0.6473308801651001,0.5729005336761475,0.5887073874473572,0.5601555109024048,0.4784368872642517,0.5192870497703552,0.5831400752067566,0.5017345547676086,0.6718780994415283,0.6180921792984009,0.6644160151481628,0.6159539222717285,0.5687984824180603,0.5750942826271057,0.6137023568153381,0.5502899885177612,0.6661068797111511,0.4449044167995453,0.0833333358168602,0.577882707118988,0.1810435950756073,0.6824636459350586,0.3469867408275604,0.7375234961509705,0.5246639847755432,0.7319408059120178,0.685818612575531,0.5571498274803162,0.3737352788448334,0.5370068550109863,0.6090631484985352,0.52950119972229,0.7661367654800415,0.5270113945007324,0.8831905722618103,0.45788922905921936,0.3837219774723053,0.4438745677471161,0.6255121827125549,0.44053205847740173,0.7923746109008789,0.44270747900009155,0.9166666865348816,0.3740833103656769,0.395567923784256,0.35596948862075806,0.6277101635932922,0.3506907820701599,0.7809455990791321,0.3497466444969177,0.9041303396224976,0.3096321225166321,0.40269213914871216,0.2808767259120941,0.6079512238502502,0.268163800239563,0.7408554553985596,0.26247623562812805,0.8495602011680603
